6 8 9 12 8 12 9  2639.1998514
6 8 5 12 8 12 9  2567.9610397
6 8 13 12 8 12 9  2602.5597432
6 8 16 12 8 12 9  2689.7013588
6 8 17 12 8 12 9  2728.6107071
6 8 19 12 8 12 9  2803.2349355
6 8 8 12 8 12 9  2613.6861786
6 8 18 12 8 12 9  2828.0086379
6 8 21 12 8 12 9  2355.2913437
6 8 11 12 8 12 9  2442.9453487
6 8 15 12 8 12 9  2616.4475264
6 8 7 12 8 12 9  2586.3983784
6 8 6 12 8 12 9  2714.7572704
6 8 14 12 8 12 9  2647.0685903
6 8 20 12 8 12 9  2920.4482762
6 8 12 12 8 12 9  2434.3224229
6 8 10 12 8 12 9  2741.2947862
6 8 10 12 8 12 9  2682.1336918

